Enh	response
7	0
10	0
11	0
12	0
14	0
15	0
18	0
19	0
20	0
21	0
22	0
24	0
26	0
27	0
28	0
32	0
33	0
34	0
50	0
51	0
52	0
53	0
111	0
112	0
114	0
115	0
117	0
118	0
119	0
121	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
145	0
146	0
147	0
148	1
149	0
150	1
151	0
154	0
156	0
158	0
161	0
165	0
167	0
168	0
170	0
178	0
183	0
192	0
196	0
198	0
212	0
216	0
219	0
226	0
274	0
291	0
292	0
304	0
306	0
314	0
318	1
320	0
322	0
323	0
326	1
327	0
328	1
329	0
330	1
331	1
332	0
333	1
336	0
337	1
338	1
339	1
354	0
356	0
368	1
369	0
370	0
381	0
386	0
389	0
390	0
391	0
409	0
412	0
418	0
425	1
426	1
427	1
452	0
462	1
463	1
464	1
465	0
469	0
470	1
471	0
480	0
486	0
493	0
496	1
497	1
510	0
514	0
517	0
525	0
527	0
537	0
579	0
586	1
588	1
599	1
603	0
627	1
643	1
652	1
661	0
664	0
681	1
682	1
683	1
708	1
734	0
749	0
755	0
766	1
767	1
768	1
769	1
770	0
800	1
801	1
802	1
820	0
827	0
839	1
845	1
864	1
865	1
877	1
878	1
882	1
887	1
900	1
903	1
908	0
909	1
917	1
919	1
927	1
931	1
945	1
955	1
958	1
959	1
960	1
970	1
973	1
989	1
994	1
996	1
1010	1
1017	1
1021	1
1023	1
1024	1
1040	1
1042	1
1044	1
1045	1
1056	1
1069	1
1070	1
1071	1
1073	1
1075	1
1079	1
1087	1
1092	1
1095	1
1097	1
1109	1
1123	1
1139	0
1141	1
1147	1
1148	1
1195	0
1215	0
1245	0
1264	1
1269	0
1276	0
1283	1
1292	0
1304	0
1308	0
1320	0
1352	0
1355	0
1357	1
1389	1
1456	1
1532	0
1533	0
1543	0
1554	0
1555	0
1559	0
1560	0
1586	0
1587	0
1589	0
1593	0
1594	0
1595	0
1597	0
1598	0
1606	1
1607	1
1608	1
1609	1
1610	1
1612	1
1613	1
1614	1
1616	1
1617	1
1618	1
1619	1
1620	1
1630	0
1674	1
1675	1
1676	1
1677	1
1682	1
1683	1
1687	1
1767	0
1775	0
1797	1
1800	0
1802	0
1833	1
1861	1
1866	1
1868	1
1870	1
1871	1
1902	1
1903	1
1904	1
1910	1
1911	1
1912	1
1918	0
1923	0
1924	0
1926	0
1927	1
1928	1
1937	0
1938	1
2063	1
2067	1
2068	1
2069	1
2070	1
2071	1
2098	1
2105	0
2111	1
2114	1
2115	1
2116	1
2121	0
2126	0
2190	0
2208	0
2239	0
2247	0
2254	0
2260	1
2267	0
2276	0
2324	0
2330	0
2341	1
2342	1
2357	0
2371	0
2377	0
2378	0
2401	0
2404	0
2419	0
2451	0
2459	0
2460	0
2470	0
2482	1
2488	1
2492	1
2493	1
2494	1
2497	1
2499	1
2503	1
2505	1
2535	1
2539	1
2552	0
2555	0
2570	0
2575	0
2579	1
2582	1
2585	0
2587	1
2588	1
2589	1
2590	1
2591	0
2592	0
2593	0
2594	0
2595	0
2596	0
2597	1
2598	1
2599	1
2600	0
2601	0
2602	0
2603	0
2604	1
2605	0
2606	0
2607	0
2608	0
2609	0
2610	0
2611	1
2623	0
2625	1
2627	0
2628	0
2629	1
2630	1
2631	0
2632	0
2633	0
2634	0
2635	0
2637	1
2638	0
2639	0
2640	0
2643	0
2644	1
2666	0
2667	0
2668	0
2669	0
2670	1
2672	0
2674	0
2676	1
2677	1
2678	1
2694	0
2697	0
2698	0
2699	0
2701	0
2704	0
2705	0
2741	0
2742	0
2746	0
2747	0
2749	0
2754	0
2756	0
2757	0
2758	0
2798	1
2799	1
2800	1
2801	1
2858	1
2862	0
2864	0
2872	0
2874	0
2890	1
2911	1
2926	1
2931	0
2933	0
2951	1
2954	1
2955	0
2956	1
2960	1
2968	1
3001	0
3016	0
3037	1
3059	0
3080	0
3081	0
3085	0
3092	0
3102	0
3130	1
3131	1
3151	0
3152	1
3153	1
3155	0
3160	0
3162	0
3165	0
3169	0
3171	1
3173	0
3193	1
3208	0
3213	1
3225	1
3227	1
3228	0
3233	1
3234	0
3238	0
3257	1
3262	1
3264	1
3265	1
3273	1
3277	1
3278	1
3282	1
3288	0
3303	1
3304	1
3325	0
3362	0
3363	0
3367	1
3368	1
3369	1
3372	1
3373	1
3374	1
3375	1
3376	1
3377	1
3378	1
3379	1
3380	1
3381	1
3382	1
3383	1
3384	1
3385	1
3386	1
3387	1
3388	1
3389	1
3390	1
3391	1
3392	1
3393	1
3394	1
3395	1
3396	1
3397	1
3399	0
3400	0
3401	1
3402	1
3403	1
3404	1
3405	1
3406	1
3407	1
3408	1
3409	1
3410	1
3411	1
3412	1
3413	0
3414	0
3415	1
3416	1
3417	1
3418	1
3419	1
3420	1
3421	1
3422	1
3423	1
3424	1
3425	1
3426	1
3436	1
3437	1
3438	1
3439	1
3440	1
3441	1
3442	1
3443	1
3444	1
3445	1
3446	1
3447	1
3448	1
3449	1
3450	1
3451	1
3452	1
3453	1
3454	1
3455	1
3456	1
3462	0
3464	0
3465	0
3466	0
3467	0
3468	0
3483	0
3487	0
3493	1
3497	0
3508	0
3510	1
3513	1
3514	1
3541	0
3553	0
3562	0
3567	0
3586	1
3587	1
3588	1
3589	1
3814	0
3818	0
3827	0
3828	0
3830	1
3847	1
3848	1
3852	0
3853	0
3854	1
3855	0
3863	0
3879	0
3882	1
3884	1
3885	1
3913	0
3928	1
3929	0
3932	1
3934	1
3936	1
3938	1
3942	0
3943	1
3945	1
3994	1
3995	1
3996	1
3997	0
3999	1
4005	0
4008	0
4014	0
4049	1
4050	1
4052	1
4057	1
4059	1
4064	0
4095	1
4096	1
4097	1
4104	1
4107	1
4108	1
4109	1
4111	1
4118	0
4156	0
4157	0
4163	0
4164	1
4170	1
4171	1
4183	0
4184	0
4190	0
4192	1
4204	0
4207	0
4211	0
4212	1
4259	1
4262	1
4267	1
4275	1
4291	0
4296	1
4299	0
4300	0
4301	1
4302	0
4303	1
4304	1
4305	1
4308	0
4312	0
4313	1
4314	0
4316	0
4317	0
4318	0
4328	0
4339	1
4340	1
4350	1
4352	0
4354	1
4359	1
4361	1
4362	1
4368	0
4402	0
4415	0
4450	0
4457	0
4461	1
4463	0
4465	0
4466	1
4478	0
4479	0
4481	0
4490	0
4537	0
4549	1
4550	1
4551	1
4595	1
4647	0
4652	0
4654	0
4685	1
4686	1
4692	0
4702	1
4703	1
4711	0
4716	0
4718	0
4720	0
4727	0
4733	0
4739	0
4791	1
4792	1
4793	1
4794	1
4795	1
4828	0
4863	0
4908	0
4941	1
4942	1
4943	1
4944	1
4945	1
4947	0
4981	0
4990	0
5004	1
5032	1
5044	0
5059	0
5092	0
5096	0
5104	0
5105	0
5106	0
5109	0
5111	0
5112	0
5117	1
5118	1
5119	0
5121	0
5122	0
5123	1
5124	0
5125	0
5126	0
5129	0
5131	0
5132	0
5134	1
5135	0
5137	0
5139	0
5141	0
5152	1
5161	0
5162	0
5165	1
5169	0
5172	0
5174	1
5186	1
5188	1
5190	1
5212	0
5216	0
5218	1
5225	1
5226	1
5228	1
5229	1
5234	0
5236	0
5249	0
5253	0
5257	0
5262	0
5275	0
5287	1
5338	0
5357	0
5370	0
5372	0
5385	0
5386	1
5387	1
5388	1
5389	1
5390	1
5404	1
5423	1
5424	1
5445	0
5446	0
5459	0
5461	0
5463	0
5479	0
5511	0
5521	0
5523	1
5524	0
5528	0
5537	0
5540	1
5542	0
5545	1
5546	1
5548	1
5557	0
5588	1
5612	0
5622	0
5677	0
5696	0
5698	0
5699	0
5703	0
5711	0
5752	0
5802	0
5822	0
5823	1
5837	0
5857	0
5871	1
5872	1
5873	1
5900	0
5919	0
5920	0
5923	0
5924	1
5925	0
6120	0
6183	0
6224	0
6226	0
6228	0
6234	0
6236	0
6237	1
6238	1
6246	0
6247	0
6252	1
6255	1
6256	1
6270	0
6273	0
6289	0
6290	0
6292	0
6380	0
6394	0
6409	0
6428	0
6448	0
6486	0
6494	0
6547	0
6555	0
6559	0
6564	0
6570	0
6585	0
6608	0
6614	0
6633	0
6709	0
6737	0
6767	1
6854	1
6908	0
6909	1
6919	1
6934	1
6938	1
6967	1
6984	1
7004	1
7006	1
7064	0
7083	0
7100	0
7108	0
7118	0
7129	0
7132	0
7186	0
7208	1
7237	1
7239	1
7264	0
7265	0
7284	0
7294	0
7299	0
7303	0
7304	0
7308	0
7322	0
7325	1
7350	1
7351	1
7352	1
7355	1
7368	1
7388	0
7389	0
7391	0
7392	0
7394	0
7397	0
7403	0
7404	0
7434	1
7452	0
7499	0
7535	0
7545	0
7546	0
7566	0
7572	0
7574	0
7578	1
7580	1
7581	1
7586	0
7642	0
7644	0
7645	0
7650	0
7659	0
7666	0
7672	0
7676	0
7692	0
7700	1
7710	0
7787	0
7793	0
7848	0
7850	0
7854	0
7872	0
7898	0
7899	0
7901	0
7906	0
7917	0
7918	0
7970	0
7997	1
7998	1
7999	1
8012	0
8015	1
8016	1
8035	0
8037	1
8047	1
8048	0
8049	1
8054	0
8055	0
8062	0
8102	0
8112	0
8122	1
8123	1
8126	1
8147	0
8148	0
8153	0
8161	1
8163	1
8164	1
8166	1
8167	0
8168	0
8174	1
8175	1
8207	0
8216	1
8225	0
8226	0
8245	0
8254	0
8263	1
8271	0
8275	0
8292	0
8300	0
8339	0
8348	1
8377	0
8408	0
8409	0
8411	0
8482	0
8489	0
8511	0
8558	0
8565	1
8609	1
8658	0
8675	1
8676	1
8677	0
8707	1
8708	1
8709	1
8710	0
8732	0
8764	0
8785	0
8804	0
8820	0
8845	1
8846	1
8847	1
8871	0
8872	0
8901	0
8919	0
8926	0
8929	0
8930	0
8932	0
8953	0
8969	1
9022	0
9027	0
9031	0
9036	0
9037	0
9045	0
9049	0
9070	0
9090	0
9093	0
9096	1
9097	1
9100	1
9107	0
9143	0
9148	0
9149	0
9152	1
9153	1
9154	1
9158	0
9160	0
9162	1
9163	1
9165	1
9166	1
9167	0
9173	0
9176	0
9186	1
9191	1
9192	1
9193	1
9201	0
9212	0
9241	0
9272	1
9297	0
9298	1
9299	1
9300	1
9301	1
9302	1
9304	1
9326	1
9328	1
9329	1
9330	1
9331	1
9332	1
9358	0
9383	1
9384	1
9388	0
9399	1
9400	1
9407	0
9422	0
9425	0
9444	0
9471	1
9472	1
9473	1
9482	1
9509	1
9512	0
9521	1
9523	0
9526	0
9542	0
9575	0
9577	1
9586	0
9593	0
9594	0
9635	1
9636	1
9638	1
9639	1
9666	0
9684	0
9721	0
9722	0
9724	0
9725	0
9735	1
9754	0
9755	0
9765	0
9780	0
9799	0
9859	1
9860	1
9864	1
9868	1
9872	1
9874	1
9877	1
9879	1
9880	1
9881	1
9882	1
9893	1
9896	1
9899	1
9904	1
9908	1
9909	1
9911	1
9913	1
9915	1
9918	1
9923	1
9924	1
9925	1
9926	1
9928	1
9933	1
9936	1
9940	1
9941	1
9944	1
9954	1
9956	1
9959	1
9961	1
9963	1
9964	1
9967	1
9972	1
9978	1
9979	1
9980	1
9982	1
9983	1
9987	1
9989	1
9990	1
9992	1
9995	1
9997	1
10000	1
10003	1
10004	1
10006	1
10009	1
10013	1
10015	1
10018	1
10020	1
10023	1
10024	1
10026	1
10027	1
10036	1
10038	1
10039	1
10044	1
10045	1
10047	1
10048	1
10056	1
10059	1
10062	1
10063	1
10066	1
10071	1
10072	1
10073	1
10076	1
10084	1
10087	1
10104	0
10105	1
10107	1
10111	1
10115	1
10116	1
10120	1
10123	1
10131	1
10133	1
10141	1
10150	1
10154	1
10170	0
10205	0
10249	1
10287	0
10322	0
10323	0
10328	0
10331	1
10351	0
10379	1
10389	1
10478	0
10480	0
10481	0
10490	0
10500	0
10511	0
10512	0
10518	0
10529	0
10546	0
10551	1
10552	1
10553	1
10554	1
10626	0
10627	0
10688	0
10690	0
10699	0
10701	0
10735	0
10757	0
10772	1
10773	1
10780	0
10782	0
10791	1
10794	0
10796	0
10798	0
10850	0
10858	0
10897	0
10905	1
10908	1
10915	1
10917	0
10918	1
10947	1
10974	1
10975	1
10976	1
10977	1
10991	1
10992	1
11006	0
11041	0
11043	0
11046	1
11061	0
11074	0
11090	0
11106	0
11115	0
11150	1
11151	1
11154	1
11156	0
11157	0
11164	1
11168	1
11169	1
11170	1
11172	1
11367	0
11377	1
11399	0
11404	0
11408	1
11409	1
11410	1
11411	1
11413	0
11460	1
11580	0
11582	1
11622	0
11644	1
11712	1
11797	1
11820	0
11825	0
11835	1
11836	1
11838	1
11839	1
11840	0
11842	1
11843	0
11846	1
11848	1
11849	1
11850	1
11851	1
11852	1
11853	1
11856	1
11857	1
11869	1
11872	1
11874	1
11889	1
11898	1
11900	1
